context,question,golden_answer,our_answer_wo_context,our_answer_w_context
"Floyd Little At his NFL Hall of Fame ceremony in 2010 . No. 44 Position : Halfback Born : ( 1942 - 07 - 04 ) July 4 , 1942 ( age 75 ) New Haven , Connecticut Height : 5 ft 10 in ( 1.78 m ) Weight : 196 lb ( 89 kg ) Career information High school : New Haven ( CT ) Hillhouse College : Syracuse NFL Draft : 1967 / Round : 1 / Pick : 6 Career history Denver Broncos ( 1967 -- 1975 ) Career highlights and awards 5 × Pro Bowl ( 1968 -- 1971 , 1973 ) First - team All - Pro ( 1969 ) 2 × Second - team All - Pro ( 1970 , 1971 ) NFL rushing yards leader ( 1971 ) NFL rushing touchdowns leader ( 1973 ) Denver Broncos No. 44 retired Denver Broncos Ring of Fame 3 × First - team All - American ( 1964 -- 1966 ) Syracuse Orange No. 44 retired Career NFL statistics Rushing yards : 6,323 Rushing average : 3.9 Rushing touchdowns : 43 Receptions : 215 Receiving yards : 2,418 Receiving touchdowns : 9 Player stats at NFL.com Player stats at PFR Pro Football Hall of Fame College Football Hall of Fame",who did floyd little play for in the nfl,Denver Broncos,Denver Broncos,Denver Broncos.
"This is a list of towns in Connecticut . The U.S. state of Connecticut is divided into 169 towns , which are grouped into eight counties .",how many towns are in the state of connecticut,169,Connecticut has 169 towns.,169 towns.
"Mechanical engineering Occupation Names Mechanical engineer Activity sectors applied mechanics , dynamics , thermodynamics , fluid mechanics , heat transfer , production technology Description Competencies technical knowledge , management skills , design ( see also glossary of mechanical engineering ) Education required See professional requirements below Fields of employment technology , science , exploration , military",what are the different fields of mechanical engineering,"applied mechanics , dynamics , thermodynamics , fluid mechanics , heat transfer , production technology","1. Aerospace Engineering
2. Automotive Engineering
3. Biomechanical Engineering
4. Chemical Engineering
5. Civil Engineering
6. Computer-Aided Design","Technology, science, exploration, military."
"State of Uttarakhand Uttarākhaṇḍ Rājya State Seal Nickname ( s ) : Devbhumi Location of Uttarakhand in India Map of Uttarakhand Coordinates ( Dehradun ) : 30 ° 20 ′ N 78 ° 04 ′ E ﻿ / ﻿ 30.33 ° N 78.06 ° E ﻿ / 30.33 ; 78.06 ﻿ ( Dehradun ) Coordinates : 30 ° 20 ′ N 78 ° 04 ′ E ﻿ / ﻿ 30.33 ° N 78.06 ° E ﻿ / 30.33 ; 78.06 ﻿ ( Dehradun ) Country India Statehood 9 November 2000 Capital Dehradun Largest city Dehradun Districts 13 Government Body Government of Uttarakhand Governor Krishan Kant Paul Chief Minister Trivendra Singh Rawat ( BJP ) Chief Justice K.M. Joseph Speaker of the House Premchand Aggarwal ( BJP ) Electoral constituencies State Legislature Unicameral ( 71 seats ) Rajya Sabha ( 3 seats ) Lok Sabha ( 5 seats ) Area Total 53,483 km ( 20,650 sq mi ) Area rank 19th Population ( 2011 ) Total 10,086,292 Rank 20th Density 189 / km ( 490 / sq mi ) Density rank 20th Male 5,137,773 Female 4,948,519 Demonym ( s ) Uttarakhandi Languages Official Hindi Additional official Sanskrit Time zone IST ( UTC + 05 : 30 ) ISO 3166 code IN - UT Vehicle registration UK 01 -- XX HDI ( 2011 ) 0.515 ( medium ) Rank 7th Literacy ( 2011 ) 79.63 % Male 88.33 % Female 70.70 % Rank 17th Sex ratio ( 2011 ) 963 ♀ / 1000 ♂ Rank 13th Website uk.gov.in ^ a Uttarakhand was formed by the Uttar Pradesh Reorganisation Act , 2000 with the bifurcation of erstwhile Uttar Pradesh on November 9 , 2000 . ^ b Dehradun is the capital of Uttarakhand . The town of Gairsain is envisaged as the state 's new capital . ^ c 70 seats are open for the direct election while 1 seat is reserved for the member of Anglo Indian community .",capital and language of all states of india,"Dehradun Largest city Dehradun Districts 13 Government Body Government of Uttarakhand Governor Krishan Kant Paul Chief Minister Trivendra Singh Rawat ( BJP ) Chief Justice K.M. Joseph Speaker of the House Premchand Aggarwal ( BJP ) Electoral constituencies State Legislature Unicameral ( 71 seats ) Rajya Sabha ( 3 seats ) Lok Sabha ( 5 seats ) Area Total 53,483 km ( 20,650 sq mi ) Area rank 19th Population ( 2011 ) Total 10,086,292 Rank 20th Density 189 / km ( 490 / sq mi ) Density rank 20th Male 5,137,773 Female 4,948,519 Demonym ( s ) Uttarakhandi Languages Official Hindi Additional official Sanskrit","Here's the list of capitals and languages of Indian states:

1. Andhra Pradesh - Amaravati, Telugu
2. Arunachal Pradesh - It","Capital: Dehradun
Language: Hindi"
"The social determinants of health ( SDOH ) are the economic and social conditions and their distribution among the population that influence individual and group differences in health status . They are health promoting factors found in one 's living and working conditions ( such as the distribution of income , wealth , influence , and power ) , rather than individual risk factors ( such as behavioural risk factors or genetics ) that influence the risk for a disease , or vulnerability to disease or injury . According to some viewpoints , the distributions of social determinants are shaped by public policies that reflect the influence of prevailing political ideologies of those governing a jurisdiction . The World Health Organization says , `` This unequal distribution of health - damaging experiences is not in any sense a ' natural ' phenomenon but is the result of a toxic combination of poor social policies , unfair economic arrangements ( where the already well - off and healthy become even richer and the poor who are already more likely to be ill become even poorer ) , and bad politics . ''",what are some of the political and social forces that shape the social determinants of health,"distribution of income , wealth , influence , and power","1. Poverty - Economic inequality
2. Racism - Systemic oppression
3. Climate Change - Environmental degradation
4. War - Human displacement
5. In","Public policies, prevailing political ideologies, poor social policies, unfair economic arrangements, bad politics."
"The Certification Commission for Health Information Technology ( CCHIT ) was an independent , 501 ( c ) 3 nonprofit organization with the public mission of accelerating the adoption of robust , interoperable health information technology . The Commission certified electronic health record technology from 2006 until 2014 . It was approved by the Office of the National Coordinator for Health Information Technology ( ONC ) of the U.S. Department of Health and Human Services ( HHS ) as an Authorized Testing and Certification Body ( ONC - ATCB ) . The CCHIT Certified program is an independently developed certification that includes a rigorous inspection of an EHR 's integrated functionality , interoperability and security using criteria developed by CCHIT 's broadly representative , expert work groups . These products may also be certified in the ONC - ATCB certification program .",who is responsible for certifying ehr software systems,Certification Commission for Health Information Technology ( CCHIT ),"Certification Body: 
- Office of the National Coordinator (ONC)
- Health Level Seven International (HL7)",The Certification Commission for Health Information Technology (CCHIT).
"POSDCORB is an acronym widely used in the field of Management and Public Administration that reflects the classic view of Organizational theory . It appeared most prominently in a 1937 paper by Luther Gulick ( in a set edited by himself and Lyndall Urwick ) . However , he first presented the concept in 1935 . Initially , POSDCORB was envisioned in an effort to develop public service professionals . In Gulick 's own words , the elements are as follows : Planning , Organizing , Staffing , Directing , Co-Ordinating , Reporting and Budgeting .",who has defined function of management as posdcorb,Luther Gulick,"Posner, B.",Luther Gulick.
"The ln command is a standard Unix command utility used to create a hard link or a symbolic link ( symlink ) to an existing file . The use of a hard link allows multiple filenames to be associated with the same file since a hard link points to the inode of a given file , the data of which is stored on disk . On the other hand , symbolic links are special files that refer to other files by name .",which command is used to link the files in unix,The ln command,`ln` command.,ln
"This list of most - streamed artists on Spotify contains the top 20 artists with the most monthly streams , as derived from Spotify charts in May 2018 . Drake is currently the most streamed artist on Spotify with 49 million monthly listeners . He is also the most streamed artist of all time with over 10 billion combined streams .",who is the number 1 most listened to on spotify,Drake,"As of my knowledge cutoff in 2023, The Weeknd holds the record for the most streamed artist on Spotify.",Drake.
"Fire and Fury : Inside the Trump White House First edition cover Author Michael Wolff Country United States Language English Subject Presidency of Donald Trump Published January 5 , 2018 Publisher Henry Holt and Company Media type Print , e-book , audiobook Pages 336 ISBN 978 - 1 - 250 - 15806 - 2 ( Hardcover )",when is fire and fury to be released,"January 5 , 2018","I couldn't find any information on a specific release date for ""Fire and Fury"".","January 5, 2018"
"Bahujan Samaj Party Abbreviation BSP Leader Mayawati President Mayawati Secretary - General Satish Chandra Mishra Veer Singh Manoj Kumar Founder Kanshi Ram Founded 14 April 1984 ( 33 years ago ) ( 1984 - 04 - 14 ) Preceded by DSSSS Headquarters 12 , Gurudwara Rakabganj Road , New Delhi , India - 110001 Volunteer 's wing Bahujan Volunteer Force Ideology Ambedkarism Human rights Buddhism Social equality Secularism Social justice Self respect Political position Centre - left Colours Blue ECI Status National Party Seats in Lok Sabha 0 / 545 ( currently 536 members + 1 Speaker ) Seats in Rajya Sabha 5 / 245 Election symbol Elephant Website www.bspindia.org Politics of India Political parties Elections",who formed bsp what are its main policies,"Kanshi Ram Founded 14 April 1984 ( 33 years ago ) ( 1984 - 04 - 14 ) Preceded by DSSSS Headquarters 12 , Gurudwara Rakabganj Road , New Delhi , India - 110001 Volunteer 's wing Bahujan Volunteer Force Ideology Ambedkarism Human rights Buddhism Social equality Secularism Social justice Self respect","I'll provide the information in a concise manner.

1. Who formed BSP: 
   - Benigno Aquino Jr.

2. Main policies of BSP: 
","Kanshi Ram formed BSP.
Main policies: 
1. Ambedkarism
2. Human rights
3. Buddhism
4. Social equality
5."
"Samsung Galaxy Note 5 Samsung Galaxy Note 5 in White Codename Project Noble Manufacturer Samsung Electronics Slogan Your World Just Got Bigger Next Is Now Capture Your Ideas Faster Capture Your Everyday Ideas Series Galaxy Note Model SM - N920x ( Last letter varies by carrier & international models ) Availability by country August 21 , 2015 ; 3 years ago ( 2015 - 08 - 21 ) Predecessor Samsung Galaxy Note 4 Samsung Galaxy Note Edge Successor Samsung Galaxy Note 7 Samsung Galaxy Note FE Samsung Galaxy Note 8 Related Samsung Galaxy S6 / S6 Edge Type Phablet Form factor Slate 153.2 mm ( 6.03 in ) H 76.1 mm ( 3.00 in ) W 7.6 mm ( 0.30 in ) D Weight 171 g ( 6.0 oz ) Operating system Original : Android 5.1. 1 `` Lollipop '' First major update : Android 6.0. 1 `` Marshmallow '' Current : Android 7.0 `` Nougat '' with Touchwiz Grace UX or Samsung Experience 8.0 System on chip Exynos 7 Octa 7420 CPU Octa - core 64 - bit 14 nm Quad - core 2.1 GHz Cortex - A57 Quad - core 1.5 GHz Cortex - A53 GPU Mali - T760 MP8 Memory 4 GB LPDDR4 Storage 32 , 64 , or 128 GB UFS 2.0 Battery Li - Ion 3000 mAh Data inputs List ( show ) Multi-touch touch screen 3 push buttons Headset controls Proximity sensor Ambient light sensors 3 - axis gyroscope Magnetometer Accelerometer Barometer Hall effect sensor Gesture sensor aGPS GLONASS RGB light sensor S Pen ( stylus / pen ) Fingerprint sensor Display 5.7 inch ( 145 mm ) Quad HD Super AMOLED ( 16 : 9 aspect ratio ) 2560 × 1440 pixel resolution , ~ 515 ppi Rear camera 16 megapixel Samsung ISOCELL S5K2P2 or Sony Exmor RS IMX240 , f / 1.9 , 2160p@30 Hz , 1080p@60 Hz , 720p@120 Hz , auto HDR , optical image stabilization , video stabilization , phase detection autofocus , tracking autofocus , manual focus , LED flash Front camera 5 MP , 1440p@30 Hz , dual video call , auto HDR Sound Dolby Digital Sound 2.0",when did the samsung note 5 come out,"August 21 , 2015","Samsung Galaxy Note 5, August 2016.","August 21, 2015."
